;ACP;pol;q3;q1;median;IQR;mean;std;count;optimal_count
95;PROCESSING_ACPS_VITORIA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.1718206770356816;0.3772245113704591;5465;939
96;PROCESSING_ACPS_CUIABA;POLICIES_buy;0.0;0.0;0.0;0.0;0.02680717322980218;0.16151949942105925;5409;145
97;PROCESSING_ACPS_CUIABA;POLICIES_rent;1.0;0.0;0.0;1.0;0.28285820066641987;0.4503880981799755;5402;1528
98;PROCESSING_ACPS_CUIABA;POLICIES_wage;1.0;0.0;0.0;1.0;0.277992277992278;0.44800956615784676;5439;1512
99;PROCESSING_ACPS_CUIABA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17592420583317853;0.3807556692094603;5383;947
100;PROCESSING_ACPS_BELEM;POLICIES_buy;0.0;0.0;0.0;0.0;0.0;0.0;5435;0
101;PROCESSING_ACPS_BELEM;POLICIES_rent;1.0;0.0;0.0;1.0;0.27122381477398017;0.44459133715517885;5442;1476
102;PROCESSING_ACPS_BELEM;POLICIES_wage;1.0;0.0;1.0;1.0;0.6969424460431655;0.4595798874478026;5560;3875
103;PROCESSING_ACPS_BELEM;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.07996289424860853;0.2712357457858281;5390;431
104;PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;POLICIES_buy;0.0;0.0;0.0;0.0;0.02427637721755369;0.15390592817284438;5355;130
105;PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;POLICIES_rent;1.0;0.0;0.0;1.0;0.2781831448376505;0.44810409813556185;5482;1525
106;PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;POLICIES_wage;1.0;0.0;0.0;1.0;0.2826980568011958;0.4503108542796006;5352;1513
107;PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.1721477126584604;0.3775087782885592;5443;937
108;PROCESSING_ACPS_TERESINA;POLICIES_buy;0.0;0.0;0.0;0.0;0.018707167994072977;0.1354887813057395;5399;101
109;PROCESSING_ACPS_TERESINA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2836009381201515;0.45074543371788195;5543;1572
110;PROCESSING_ACPS_TERESINA;POLICIES_wage;1.0;0.0;0.0;1.0;0.28361990950226246;0.45075454122636505;5525;1567
111;PROCESSING_ACPS_TERESINA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.16210758215531484;0.36854947288399786;5447;883
112;PROCESSING_ACPS_MANAUS;POLICIES_buy;0.0;0.0;0.0;0.0;0.027160946962745458;0.1625522375202273;5449;148
113;PROCESSING_ACPS_MANAUS;POLICIES_rent;1.0;0.0;0.0;1.0;0.2923923006416132;0.45486156483826784;5455;1595
114;PROCESSING_ACPS_MANAUS;POLICIES_wage;1.0;0.0;0.0;1.0;0.284369809928031;0.4511137563071277;5419;1541
115;PROCESSING_ACPS_MANAUS;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17296996662958844;0.3782213072709515;5394;933
116;PROCESSING_ACPS_BRASILIA;POLICIES_buy;0.0;0.0;0.0;0.0;0.0;0.0;5589;0
117;PROCESSING_ACPS_BRASILIA;POLICIES_rent;0.0;0.0;0.0;0.0;0.0;0.0;5445;0
118;PROCESSING_ACPS_BRASILIA;POLICIES_wage;0.0;0.0;0.0;0.0;0.0;0.0;5464;0
119;PROCESSING_ACPS_BRASILIA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.0;0.0;5400;0
120;PROCESSING_ACPS_ARACAJU;POLICIES_buy;0.0;0.0;0.0;0.0;0.019045923816304735;0.13668641703654483;5618;107
